Sequence,Step,SourceID,Predicted_Proportion,Predicted_Increment,Predicted_Cumulative,GroundTruth_Increment,GroundTruth_Cumulative,LSTM_Predicted_TotalTime,LSTM_Predicted_Increment,LSTM_Predicted_Cumulative,Increment_MAE_Transformer,Increment_MAE_LSTM,Increment_Improvement_Pct,Cumulative_MAE_Transformer,Cumulative_MAE_LSTM,Cumulative_Improvement_Pct
0,1,MRI_MSR_104,0.0024570026,0.69041777,1.3808355,42.0,42.0,,1.7018942,1.7018942,41.30958223,40.29810583591461,2.448527289513053,40.6191645,40.29810583591461,0.790411787237487
0,2,MRI_FRR_257,0.056511056,15.879606,17.26044,10.0,52.0,,39.143566,40.84546,5.879606000000001,29.143566131591797,-395.67209319113886,34.73956,11.154541015625,67.89095482031148
0,3,MRI_FRR_264,0.06633907,18.641277,35.90172,10.0,62.0,,45.95114,86.7966,8.641276999999999,35.951141357421875,-316.03968206807724,26.098280000000003,24.796600341796875,4.987607069136845
0,4,MRI_FRR_264,0.0073710075,2.071253,37.972973,2.0,64.0,,5.1056824,91.90228,0.07125300000000001,3.105682373046875,-4258.668930496786,26.027026999999997,27.90228271484375,-7.2050323490414545
0,5,MRI_CCS_11,0.012285012,3.4520884,41.42506,93.0,157.0,,8.50947,100.41175,89.5479116,84.49053001403809,5.647682336303553,115.57494,56.58824920654297,51.03761316549853
0,6,MRI_CCS_11,0.26289925,73.87469,115.29974,9.0,166.0,,182.10266,282.5144,64.87469,173.1026611328125,-166.8261861949745,50.70026,116.514404296875,-129.81026980310358
0,7,MRI_FRR_264,0.036855035,10.356265,125.656006,1.0,167.0,,25.52841,308.04282,9.356265,24.528409957885742,-162.16027397562746,41.343993999999995,141.04281616210938,-241.14463194366124
0,8,MRI_FRR_257,0.0073710075,2.071253,127.72726,2.0,169.0,,5.1056824,313.1485,0.07125300000000001,3.105682373046875,-4258.668930496786,41.27274,144.14849853515625,-249.25836892621197
0,9,MRI_FRR_264,0.012285012,3.4520884,131.17935,2.0,171.0,,8.50947,321.65796,1.4520884,6.509469985961914,-348.28331291413895,39.82065,150.657958984375,-278.34128519844603
0,10,MRI_FRR_257,0.0024570026,0.69041777,131.86977,2.0,173.0,,1.7018942,323.35986,1.30958223,0.2981058359146118,77.23656987048368,41.13023000000001,150.35986328125,-265.57019807876094
0,11,MRI_FRR_264,0.012285012,3.4520884,135.32185,1.0,174.0,,8.50947,331.86932,2.4520884,7.509469985961914,-206.24793078267138,38.67814999999999,157.86932373046875,-308.16151685245757
0,12,MRI_FRR_34,0.0073710075,2.071253,137.39311,0.0,174.0,,5.1056824,336.975,2.071253,5.105682373046875,-146.50211118810088,36.60688999999999,162.97500610351562,-345.20309183193564
0,13,MRI_FRR_257,0.0024570026,0.69041777,138.08353,6.0,180.0,,1.7018942,338.6769,5.30958223,4.298105835914612,19.050018443454604,41.916470000000004,158.67691040039062,-278.5550414917826
0,14,MRI_FRR_264,0.027027026,7.5945945,145.67812,79.0,259.0,,18.720835,357.39774,71.4054055,60.279165267944336,15.581789857709952,113.32188,98.39773559570312,13.169693623417533
0,15,MRI_MPT_1005,0.28746927,80.77886,226.45697,22.0,281.0,,199.12158,556.5193,58.778859999999995,177.12158203125,-201.33551761849415,54.54302999999999,275.519287109375,-405.14114655781873
0,16,MRI_MSR_100,0.1941032,54.543,280.99997,-281.0,0.0,690.968994140625,134.44963,690.96893,335.543,415.4496307373047,-23.81412538402073,280.99997,690.9689331054688,-145.89644372754515
1,1,MRI_MSR_104,0.0041152267,1.1028807,2.2057614,41.0,41.0,,1.454489,1.454489,39.8971193,39.54551100730896,0.8812874183902295,38.7942386,39.54551100730896,-1.9365566497004532
1,2,MRI_FRR_257,0.09465021,25.366257,27.572018,8.0,49.0,,33.453243,34.907734,17.366257,25.453243255615234,-46.56723815393975,21.427982,14.092266082763672,34.234282618103414
1,3,MRI_FRR_264,0.11111111,29.777779,57.349796,3.0,52.0,,39.271194,74.178925,26.777779,36.27119445800781,-35.45258722916421,5.349795999999998,22.178924560546875,-314.57514567932844
1,4,MRI_CCS_11,0.0781893,20.954733,78.30453,6.0,58.0,,27.635286,101.81421,14.954733000000001,21.635286331176758,-44.671832865065234,20.30453,43.814208984375,-115.78538870082194
1,5,MRI_FRR_264,0.06172839,16.54321,94.84773,21.0,79.0,,21.81733,123.63154,4.456790000000002,0.8173294067382812,81.66102942390641,15.847729999999999,44.63153839111328,-181.62732701221742
1,6,MRI_CCS_11,0.012345679,3.308642,98.15637,1.0,80.0,,4.3634663,127.995,2.308642,3.363466262817383,-45.690248328557786,18.156369999999995,47.99500274658203,-164.34250208925044
1,7,MRI_CCS_11,0.012345679,3.308642,101.46501,62.0,142.0,,4.3634663,132.35847,58.691358,57.63653373718262,1.7972394893595474,40.53498999999999,9.641525268554688,76.2143144267343
1,8,MRI_FRR_257,0.0041152267,1.1028807,102.567894,1.0,143.0,,1.454489,133.81296,0.10288070000000005,0.45448899269104004,-341.76312242338923,40.432106000000005,9.187042236328125,77.2778538018076
1,9,MRI_FRR_264,0.012345679,3.308642,105.87653,3.0,146.0,,4.3634663,138.17642,0.30864199999999986,1.3634662628173828,-341.76303381178957,40.12347,7.823577880859375,80.5012430857566
